year	catch
1950	41.74
1951	212
1952	290.91
1953	1327.29
1954	3110.46
1955	3622.08
1956	5909.02
1957	5608.75
1958	7566.67
1959	11928.46
1960	12411.07
1961	16932.33
1962	19365.24
1963	14536.55
1964	19961.06
1965	13695.6
1966	16186.51
1967	22840.32
1968	19629.32
1969	21722.3
1970	15305.4
1971	14048.43
1972	13600.31
1973	25262.26
1974	31789.99
1975	12432.82
1976	16327.31
1977	13302.59
1978	19216.9
1979	18795.53
1980	14910.55
1981	16184.46
1982	26703.8
1983	21451.78
1984	19266.39
1985	12708.38
1986	35389.19
1987	33318.84
1988	32247.37
1989	23892.07
1990	37558.43
1991	32265.53
1992	24838.59
1993	23460.59
1994	29704.16
1995	28301.48
1996	36521.12
1997	34312.76
1998	44500.43
1999	44600.21
2000	43148.69
2001	48450.09
2002	39245.67
2003	27620.67
2004	26797.67
2005	29768.07
2006	30509.32
2007	40088.88
2008	37490.51
2009	35811.25
2010	43818.89
2011	35002.64
2012	36118.34
2013	49776.56
2014	44036.48
2015	39421.81
2016	38016.85
2017	39189.87
2018	43887.4
2019	37851.85
2020	37056.06
2021	34498.97
2022	48924.14
2023	46637.72
